h,RelativeError,AbsoluteError
1.0E-7,1.0925145925545968E-7,8.268177698056434E-8
1.0E-6,1.0925200007664196E-6,8.26821862753846E-7
1.0E-5,1.0925207675336727E-5,8.268224430452165E-6
1.0E-4,1.0925282650234241E-4,8.268281171641689E-5
0.001,0.0010926032649614616,8.268848773044235E-4
0.01,0.010933532663530216,0.008274524802290406
0.1,0.11008546541837545,0.08331295492576118
0.25,0.27834374967431375,0.21065124430688598
0.5,0.5671806246538946,0.4292437120283769
1.0,1.1772760707745338,0.8909654680284802
