Angle,Wind_Speed,Lift_Calculated,Drag_Calculated,Lift_Data,Drag_Data
0.0,27.81,-0.47862477656262487,0.18300241852308288,5.39,0.44
0.0,27.63,-0.4724490376750436,0.1806411217245529,5.39,0.44
0.0,27.69,-0.47450316150417426,0.18142651698005244,5.39,0.44
0.0,27.81,-0.47862477656262487,0.18300241852308288,5.39,0.44
0.0,27.87,-0.4806922677919452,0.18379292481061385,5.38,0.44
0.0,27.9,-0.4817276843316289,0.18418881683338323,5.38,0.44
0.0,27.84,-0.47965796520227716,0.18339745870718036,5.39,0.43
0.0,27.81,-0.47862477656262487,0.18300241852308288,5.39,0.43
0.0,27.81,-0.47862477656262487,0.18300241852308288,5.4,0.44
0.0,27.75,-0.47656174113336797,0.18221361591289573,5.4,0.43
0.0,27.75,-0.47656174113336797,0.18221361591289573,5.4,0.43
0.0,27.87,-0.4806922677919452,0.18379292481061385,5.4,0.43
0.0,27.9,-0.4817276843316289,0.18418881683338323,5.41,0.43
0.0,27.84,-0.47965796520227716,0.18339745870718036,5.41,0.43
0.0,27.78,-0.47759270187298863,0.18260780425832135,5.41,0.43
0.0,27.81,-0.47862477656262487,0.18300241852308288,5.41,0.43
0.0,27.9,-0.4817276843316289,0.18418881683338323,5.41,0.43
0.0,27.9,-0.4817276843316289,0.18418881683338323,5.41,0.43
0.0,27.9,-0.4817276843316289,0.18418881683338323,5.41,0.43
0.0,27.84,-0.47965796520227716,0.18339745870718036,5.41,0.44
0.0,28.16,-0.4907479564706611,0.18763772231845752,7.95,0.57
0.0,28.28,-0.49493937906343527,0.1892403148065411,7.93,0.56
0.0,28.31,-0.49599001958666816,0.18964202772690184,7.9,0.56
0.0,28.13,-0.48970288569750703,0.18723813899477648,7.9,0.56
0.0,28.1,-0.48865892887436896,0.18683898159043147,7.89,0.56
0.0,28.19,-0.49179414119383097,0.18803773156147446,7.89,0.56
0.0,28.31,-0.49599001958666816,0.18964202772690184,7.86,0.56
0.0,28.22,-0.4928414398670165,0.18843816672382738,7.86,0.56
0.0,28.28,-0.49493937906343527,0.1892403148065411,7.86,0.56
0.0,28.31,-0.49599001958666816,0.18964202772690184,7.83,0.56
0.0,28.22,-0.4928414398670165,0.18843816672382738,7.81,0.56
0.0,28.07,-0.48761608600124645,0.1864402501054223,7.81,0.55
0.0,28.13,-0.48970288569750703,0.18723813899477648,7.8,0.55
0.0,28.22,-0.4928414398670165,0.18843816672382738,7.82,0.55
0.0,28.1,-0.48865892887436896,0.18683898159043147,7.84,0.55
0.0,27.98,-0.4844942410819739,0.18524661116641075,7.84,0.56
0.0,28.13,-0.48970288569750703,0.18723813899477648,7.83,0.56
0.0,28.28,-0.49493937906343527,0.1892403148065411,7.86,0.56
0.0,28.22,-0.4928414398670165,0.18843816672382738,7.9,0.56
0.0,28.25,-0.493889852490218,0.18883902780551626,7.9,0.56
0.1,28.01,-0.22894963829640688,0.17136675408079366,8.3,0.5
0.1,28.19,-0.23190168051854698,0.1735763312493003,8.33,0.5
0.1,28.1,-0.23042329567260159,0.17246977343065942,8.33,0.5
0.1,28.19,-0.23190168051854698,0.1735763312493003,8.34,0.5
0.1,28.04,-0.22944033214738835,0.1717340340342183,8.34,0.5
0.1,28.1,-0.23042329567260159,0.17246977343065942,8.34,0.5
0.1,28.04,-0.22944033214738835,0.1717340340342183,8.35,0.5
0.1,27.98,-0.22845946971984216,0.1709998672905662,8.35,0.5
0.1,28.07,-0.22993155127278656,0.17210170715084022,8.32,0.5
0.1,28.1,-0.23042329567260159,0.17246977343065942,8.32,0.5
0.1,28.19,-0.23190168051854698,0.1735763312493003,8.34,0.5
0.1,28.22,-0.23239552601602895,0.1739459701819084,8.35,0.5
0.1,27.95,-0.2279698264176942,0.17063337366353604,8.35,0.5
0.1,27.92,-0.227480708389963,0.17026727319970308,8.39,0.5
0.1,28.1,-0.23042329567260159,0.17246977343065942,8.39,0.5
0.1,28.16,-0.23140836029548173,0.17320708547988942,8.39,0.5
0.1,27.95,-0.2279698264176942,0.17063337366353604,8.39,0.5
0.1,28.04,-0.22944033214738835,0.1717340340342183,8.34,0.5
0.1,28.04,-0.22944033214738835,0.1717340340342183,8.29,0.49
0.1,27.98,-0.22845946971984216,0.1709998672905662,8.29,0.49
1.0,28.04,1.6493579858433702,0.062298638648757176,8.74,0.59
1.0,28.07,1.652889170529566,0.06243201660591113,8.74,0.6
1.0,28.1,1.656424131210793,0.06256553718786333,8.72,0.6
1.0,27.86,1.6282501736218393,0.06150136602659651,8.72,0.6
1.0,27.95,1.6387870877549666,0.061899360526084767,8.71,0.6
1.0,28.1,1.656424131210793,0.06256553718786333,8.71,0.6
1.0,28.01,1.6458305771522053,0.06216540331640147,8.68,0.6
1.0,28.07,1.652889170529566,0.06243201660591113,8.65,0.6
1.0,28.16,1.663505380558338,0.06283300622616242,8.63,0.6
1.0,28.28,1.6777131911937966,0.06336965580033949,8.63,0.6
1.0,28.04,1.6493579858433702,0.062298638648757176,8.61,0.61
1.0,28.01,1.6458305771522053,0.06216540331640147,8.6,0.61
1.0,28.19,1.6670516692246566,0.06296695468250933,8.6,0.61
1.0,28.07,1.652889170529566,0.06243201660591113,8.6,0.61
1.0,28.04,1.6493579858433702,0.062298638648757176,8.58,0.61
1.0,28.1,1.656424131210793,0.06256553718786333,8.56,0.61
1.0,28.16,1.663505380558338,0.06283300622616242,8.53,0.6
1.0,28.16,1.663505380558338,0.06283300622616242,8.53,0.6
1.0,28.1,1.656424131210793,0.06256553718786333,8.5,0.6
1.0,28.07,1.652889170529566,0.06243201660591113,8.5,0.6
1.1,27.6,1.7578682813729556,0.05058547421294628,6.17,0.49
1.1,27.6,1.7578682813729556,0.05058547421294628,6.16,0.49
1.1,27.6,1.7578682813729556,0.05058547421294628,6.16,0.49
1.1,27.51,1.7464226149048003,0.05025610683536174,6.16,0.48
1.1,27.54,1.750233683307824,0.050365776430329544,6.16,0.48
1.1,27.6,1.7578682813729556,0.05058547421294628,6.16,0.48
1.1,27.6,1.7578682813729556,0.05058547421294628,6.16,0.48
1.1,27.66,1.7655194944501977,0.05080565011913778,6.16,0.48
1.1,27.75,1.77702746721377,0.051136810460127774,6.17,0.49
1.1,27.66,1.7655194944501977,0.05080565011913778,6.18,0.48
1.1,27.63,1.7616918110350623,0.05069550240059517,6.2,0.48
1.1,27.69,1.769351331618361,0.050915917368574086,6.2,0.48
1.1,27.75,1.77702746721377,0.051136810460127774,6.2,0.48
1.1,27.69,1.769351331618361,0.050915917368574086,6.19,0.48
1.1,27.72,1.7731873225395514,0.05102630414890407,6.17,0.48
1.1,27.75,1.77702746721377,0.051136810460127774,6.17,0.48
1.1,27.78,1.7808717656410165,0.05124743630224518,6.15,0.48
1.1,27.81,1.7847202178212906,0.051358181675256256,6.15,0.48
1.1,27.87,1.7924295834409227,0.051580031013959554,6.15,0.48
1.1,27.87,1.7924295834409227,0.051580031013959554,6.15,0.48
2.0,27.98,2.958361001728838,-0.020974294443912918,9.53,0.67
2.0,27.92,2.9456868527786297,-0.02088443680593286,9.57,0.67
2.0,28.04,2.971062358154431,-0.02106434497843247,9.56,0.67
2.0,27.86,2.933039911303806,-0.020794772064492293,9.55,0.67
2.0,27.89,2.939359981106795,-0.020839580323145142,9.55,0.67
2.0,27.89,2.939359981106795,-0.020839580323145142,9.54,0.67
2.0,27.8,2.9204201773043685,-0.02070530021959122,9.52,0.67
2.0,27.8,2.9204201773043685,-0.02070530021959122,9.52,0.67
2.0,27.92,2.9456868527786297,-0.02088443680593286,9.52,0.67
